Date,Forecasting
2020-03-16,53431.348
2020-03-17,53432.75
2020-03-18,53432.543
2020-03-19,53432.75
2020-03-20,53430.152
2020-03-21,53429.87
2020-03-22,53424.715
2020-03-23,53414.527
2020-03-24,53392.5
2020-03-25,53392.7
2020-03-26,53393.113
2020-03-27,53392.363
2020-03-28,53393.57
2020-03-29,53394.51
2020-03-30,53392.715
